lat,lon,time,tmin,startStep,endStep,prediction_date
45.0,4.0,2020-12-05,267.9796,0.0,24.0,2020-12-05
45.0,4.0,2020-12-06,269.06366,24.0,48.0,2020-12-05
45.0,4.0,2020-12-07,269.1491,48.0,72.0,2020-12-05
45.0,4.0,2020-12-08,268.852,72.0,96.0,2020-12-05
45.0,4.0,2020-12-09,266.7376,96.0,120.0,2020-12-05
45.0,4.0,2020-12-10,267.31757,120.0,144.0,2020-12-05
45.0,4.0,2020-12-11,275.16556,144.0,168.0,2020-12-05
45.0,4.0,2020-12-12,274.9542,168.0,192.0,2020-12-05
45.0,4.0,2020-12-13,271.7025,192.0,216.0,2020-12-05
45.0,4.0,2020-12-14,272.29364,216.0,240.0,2020-12-05
45.0,4.0,2020-12-15,273.67197,240.0,264.0,2020-12-05
45.0,4.0,2020-12-16,273.24545,264.0,288.0,2020-12-05
45.0,4.0,2020-12-17,273.77094,288.0,312.0,2020-12-05
45.0,4.0,2020-12-18,272.617,312.0,336.0,2020-12-05
45.0,4.0,2020-12-19,271.6571,336.0,360.0,2020-12-05
45.0,5.0,2020-12-05,274.59192,0.0,24.0,2020-12-05
45.0,5.0,2020-12-06,273.67294,24.0,48.0,2020-12-05
45.0,5.0,2020-12-07,273.22693,48.0,72.0,2020-12-05
45.0,5.0,2020-12-08,273.0959,72.0,96.0,2020-12-05
45.0,5.0,2020-12-09,272.4776,96.0,120.0,2020-12-05
45.0,5.0,2020-12-10,272.13654,120.0,144.0,2020-12-05
45.0,5.0,2020-12-11,274.89557,144.0,168.0,2020-12-05
45.0,5.0,2020-12-12,279.63422,168.0,192.0,2020-12-05
45.0,5.0,2020-12-13,275.7725,192.0,216.0,2020-12-05
45.0,5.0,2020-12-14,275.20364,216.0,240.0,2020-12-05
45.0,5.0,2020-12-15,277.18195,240.0,264.0,2020-12-05
45.0,5.0,2020-12-16,276.04544,264.0,288.0,2020-12-05
45.0,5.0,2020-12-17,276.04092,288.0,312.0,2020-12-05
45.0,5.0,2020-12-18,277.197,312.0,336.0,2020-12-05
45.0,5.0,2020-12-19,275.57565,336.0,360.0,2020-12-05
45.0,6.0,2020-12-05,265.13193,0.0,24.0,2020-12-05
45.0,6.0,2020-12-06,264.37366,24.0,48.0,2020-12-05
45.0,6.0,2020-12-07,263.39694,48.0,72.0,2020-12-05
45.0,6.0,2020-12-08,261.90198,72.0,96.0,2020-12-05
